ID,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
8917.0,3.0,142.5,0.0,0.0,48.0,1052.255952,0.004347826,0.013043478,0.0,0.0,Nov,1.0,8.0,6.0,11.0,Returning_Visitor,False,False
773.0,6.0,437.3913043,2.0,235.55,83.0,2503.881781,0.002197802,0.004916136,2.086218493,0.0,Mar,2.0,2.0,3.0,2.0,Returning_Visitor,False,True
12251.0,1.0,41.125,0.0,0.0,126.0,4310.004668,0.000687831,,,0.0,Nov,2.0,2.0,2.0,2.0,Returning_Visitor,False,False
7794.0,2.0,141.0,0.0,0.0,,606.6666667,0.008333333,0.026388889,36.672294,0.0,Aug,2.0,5.0,7.0,4.0,,False,False
6602.0,18.0,608.14,6.0,733.8,168.0,4948.398759,0.006631763,0.013527508,10.15064372,0.0,Aug,2.0,2.0,3.0,1.0,Returning_Visitor,True,False
248.0,1.0,22.0,,0.0,9.0,415.25,0.033333333,0.048148148,0.0,0.0,Mar,3.0,3.0,1.0,1.0,Returning_Visitor,False,False
4611.0,0.0,0.0,0.0,0.0,14.0,186.9333333,0.042857143,,0.0,0.0,May,2.0,,,4.0,Returning_Visitor,False,False
219.0,0.0,0.0,0.0,0.0,12.0,198.0,0.016666667,0.075,0.0,0.0,Mar,2.0,2.0,3.0,2.0,Returning_Visitor,False,False
4024.0,8.0,149.5,0.0,,55.0,2598.991667,0.003278689,0.008196721,48.72995628,,May,2.0,,8.0,2.0,Returning_Visitor,True,False
4247.0,6.0,140.3333333,0.0,0.0,9.0,88.95,0.0,0.004761905,0.0,0.0,May,3.0,2.0,2.0,3.0,New_Visitor,False,False
11996.0,0.0,0.0,0.0,0.0,29.0,631.775,0.021428571,0.05042517,0.0,0.0,Nov,2.0,2.0,1.0,1.0,Returning_Visitor,False,False
11700.0,4.0,101.75,2.0,65.5,37.0,1307.472222,0.011149826,0.027235772,0.0,0.0,Nov,3.0,2.0,3.0,2.0,Returning_Visitor,False,False
4419.0,0.0,,0.0,0.0,6.0,223.3333333,0.0,0.008333333,0.0,0.0,May,2.0,2.0,1.0,2.0,Returning_Visitor,False,False
9368.0,2.0,54.5,0.0,0.0,5.0,66.5,0.0,0.028571429,0.0,0.0,Dec,8.0,13.0,9.0,20.0,Other,False,False
2577.0,0.0,0.0,,0.0,3.0,222.0,0.133333333,0.133333333,0.0,0.0,May,1.0,1.0,3.0,3.0,Returning_Visitor,False,False
10238.0,0.0,0.0,0.0,0.0,17.0,559.75,0.011764706,0.019607843,0.0,0.0,Nov,1.0,1.0,3.0,3.0,Returning_Visitor,False,False
8484.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.1,0.0,0.0,Dec,2.0,2.0,1.0,10.0,Other,False,False
8438.0,0.0,0.0,0.0,0.0,9.0,190.3333333,0.0,0.033333333,0.0,0.0,Dec,1.0,1.0,3.0,2.0,,False,False
7673.0,4.0,75.1,0.0,0.0,7.0,102.7,0.0,0.011111111,0.0,0.0,Sep,2.0,4.0,6.0,2.0,Returning_Visitor,False,True
9774.0,2.0,20.0,0.0,0.0,66.0,3391.68588,0.028955224,0.038335618,0.0,0.0,Dec,3.0,2.0,8.0,1.0,Returning_Visitor,False,False
3602.0,1.0,12.0,0.0,0.0,18.0,691.5,0.0,0.005,0.0,0.0,May,2.0,4.0,4.0,,,False,False
11073.0,0.0,,0.0,0.0,50.0,2549.534524,0.012244898,0.036530612,0.0,0.0,Nov,1.0,2.0,2.0,2.0,Returning_Visitor,False,False
10011.0,3.0,106.5,2.0,49.5,29.0,1433.634921,0.008064516,0.018932412,0.0,,Nov,3.0,2.0,4.0,2.0,Returning_Visitor,True,False
2367.0,8.0,217.0,2.0,281.5,5.0,236.1666667,0.0,0.014285714,0.0,0.0,,2.0,2.0,3.0,2.0,Returning_Visitor,False,False
9172.0,0.0,0.0,0.0,0.0,,221.5,,0.020512821,0.0,0.0,Nov,2.0,2.0,1.0,2.0,New_Visitor,False,False
7664.0,5.0,79.1,0.0,,36.0,1081.108333,0.025,0.025972222,0.0,0.0,Sep,1.0,2.0,2.0,2.0,Returning_Visitor,True,False
8864.0,0.0,0.0,0.0,0.0,43.0,898.2388889,0.007317073,0.031707317,8.898618695,0.0,Nov,2.0,4.0,1.0,10.0,,False,True
2532.0,0.0,0.0,0.0,0.0,13.0,392.0,0.0,0.026923077,0.0,0.6,May,3.0,2.0,,13.0,Returning_Visitor,False,False
10835.0,0.0,0.0,0.0,0.0,47.0,3650.316667,0.0,0.003333333,97.19657367,0.0,Nov,2.0,2.0,1.0,10.0,Returning_Visitor,False,True
4984.0,0.0,0.0,0.0,0.0,20.0,2280.833333,0.01,0.038333333,0.0,0.0,May,1.0,,1.0,4.0,Returning_Visitor,False,False
4955.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.0,0.2,May,3.0,2.0,1.0,13.0,,False,False
3525.0,16.0,284.85,0.0,0.0,276.0,4758.380638,0.001034483,0.007306262,27.43209507,0.0,May,4.0,1.0,3.0,1.0,Returning_Visitor,True,True
8609.0,9.0,250.0833333,2.0,30.5,155.0,4643.283732,0.002073171,0.007466851,10.11599409,0.0,Nov,2.0,2.0,1.0,3.0,Returning_Visitor,False,True
1321.0,4.0,178.0,2.0,209.0,17.0,2777.666667,0.0,0.009090909,0.0,0.0,Mar,3.0,2.0,7.0,1.0,Returning_Visitor,False,False
534.0,0.0,0.0,0.0,0.0,6.0,116.5,0.0,0.066666667,0.0,0.0,Mar,2.0,,2.0,3.0,Returning_Visitor,True,False
8845.0,0.0,0.0,0.0,0.0,75.0,1775.241667,0.001333333,0.019428571,0.0,0.0,Nov,2.0,6.0,5.0,3.0,Returning_Visitor,True,False
2391.0,4.0,85.0,0.0,0.0,19.0,599.0,0.015,0.035,0.0,0.0,May,2.0,2.0,1.0,2.0,Returning_Visitor,False,False
8137.0,2.0,126.75,0.0,0.0,22.0,2281.583333,0.02969697,0.043686869,0.0,0.0,Dec,3.0,2.0,2.0,3.0,Returning_Visitor,False,False
2289.0,2.0,123.0,0.0,0.0,6.0,178.3333333,0.0,0.023809524,0.0,0.0,May,3.0,2.0,1.0,1.0,Returning_Visitor,True,False
829.0,5.0,193.0,1.0,13.0,66.0,2049.458471,0.004489796,0.012765306,29.45815149,,Mar,3.0,2.0,3.0,1.0,Returning_Visitor,True,False
4863.0,0.0,0.0,0.0,0.0,1.0,,0.2,0.2,0.0,,May,3.0,2.0,7.0,3.0,Returning_Visitor,False,False
6826.0,0.0,0.0,3.0,146.0,23.0,1249.216667,0.015384615,0.029102564,15.33867021,0.0,Aug,3.0,2.0,3.0,4.0,Returning_Visitor,,False
